offset,size,region,name_role,sections,status,pct
0x019f4,100,код A,флаг-хендлер: bit1(@0xF95+0xC) && !bit2(@0x15F7+0x11); счётчик @0xA41 (кап flash 0x19E5E+0xD); сброс флагов,§50,разобран,100%
0x01a68,70,код A,порог #6: u16@0xF95+6 ≥ flash 0x19E5E+0x18; счётчик @0xA40 (кап +0x1B); clear bit4(@0xF95+0xC),§50,разобран,100%
0x01abc,12,код A,последовательность: 0x1a68 + 0x19f4,§48,ID,25%
0x01ac8,268,код A,,,не начат,0%
0x01bdc,42,код A,"**I2C2 read**: {code16, len=2} → 0x1e72(op=8, dev=0x3E) — чтение регистра чипа I2C2",§49,разобран,100%
0x01c1c,42,код A,"**I2C2 read**: {code16, len=2} → 0x90a0(base=0x40005800) — чтение регистра чипа I2C2",§49,разобран,100%
0x01c60,26,код A,I2C2-цепочка #1: → 0x1e52 → 0x214c → 0x8f7c(I2C2=0x40005800),§49,разобран,100%
0x01c7a,52,код A,"I2C2 read: буфер {u16=0, len=2, addr=0x3E} → 0x1e72; результат → u16@0xF95+0x1E",§49,разобран,100%
0x01cea,12,код A,последовательность: 0x1fe0 + 0x20d8,§48,ID,25%
0x01cf6,54,код A,init-подблок: 0x1d06(1) + 0x1d1e(1),§49,разобран,100%
0x01d78,112,код A,I2C read reg 5 (2B) → u16@0xA7C (BE); 3 попытки,§50,разобран,100%
0x01dec,8,код A,thunk → 0x29e8,§48,ID,25%
0x01df4,64,код A,"**мега-инициал**: 15 последовательных bl (0x3b2a, 0x36f4, 0xced0, 0x9b44, 0x9f70, 0xc098, 0x11978, 0x119c4, 0x3034, 0x1cf6, ...)",§49,разобран,100%
0x01e34,30,код A,сумма массива байтов (u8),§49,разобран,100%
0x01e52,32,код A,I2C2-цепочка #2: пересборка аргументов → 0x214c,§49,разобран,100%
0x01e72,32,код A,I2C2-цепочка #3: → 0x2730 → 0x9048 → 0x8f7c(I2C2),§49,разобран,100%
0x01e94,324,код A,,,не начат,0%
0x01fe0,200,код A,,,не начат,0%
0x020c4,16,код A,I2C2 wr reg 0x38 = u32@0x162D,§49,разобран,100%
0x020d8,76,код A,флаг-хендлер: bit3(@0xA71); счётчик @0xA7A (кап 5) → 0xaf94(*(u32@RAM[0xDD8])) + delay 0x1F4; если 0x2a5c → clear bit3,§50,разобран,100%
0x02138,16,код A,I2C2 wr reg 0x36 = u32@0x162B,§49,разобран,100%
0x0214c,36,код A,"I2C2 write: 0x8f7c(op=8, reg=r0, buf=stack)",§49,разобран,100%
0x0218c,76,код A,I2C read reg 0x83 (2B) → u16@0xB42 (если != 0xFFFF); вызов из 0x8afc,§50,разобран,100%
0x021dc,16,код A,I2C2 wr reg 0x12 = u32@0x1607,§49,разобран,100%
0x021f0,16,код A,I2C2 wr reg 0x14 = u32@0x1609,§49,разобран,100%
0x02204,16,код A,I2C2 wr reg 0x16 = u32@0x160B,§49,разобран,100%
0x02218,16,код A,I2C2 wr reg 0x18 = u32@0x160D,§49,разобран,100%
0x0222c,16,код A,I2C2 wr reg 0x1A = u32@0x160F,§49,разобран,100%
0x02240,16,код A,I2C2 wr reg 0x1C = u32@0x1611,§49,разобран,100%
0x02254,16,код A,I2C2 wr reg 0x1E = u32@0x1613,§49,разобран,100%
0x02268,16,код A,I2C2 wr reg 0x20 = u32@0x1615,§49,разобран,100%
0x0227c,16,код A,I2C2 wr reg 0x22 = u32@0x1617,§49,разобран,100%
0x02290,16,код A,I2C2 wr reg 0x24 = u32@0x1619,§49,разобран,100%
0x022a4,16,код A,I2C2 wr reg 0x26 = u32@0x161B,§49,разобран,100%
0x022b8,16,код A,I2C2 wr reg 0x28 = u32@0x161D,§49,разобран,100%
0x022cc,16,код A,I2C2 wr reg 0x2A = u32@0x161F,§49,разобран,100%
0x022e0,16,код A,I2C2 wr reg 0x32 = u32@0x1621,§49,разобран,100%
0x022f4,16,код A,I2C2 wr reg 0x3A = u32@0x162F,§49,разобран,100%
0x02308,16,код A,I2C2 wr reg 0x7F = u32@0x164B (len 1),§49,разобран,100%
0x0231c,16,код A,I2C2 wr reg 3 = u32@0x15FA (len 1),§49,разобран,100%
0x02330,16,код A,I2C2 wr reg 5 = u32@0x15FC (len 1),§49,разобран,100%
0x02344,16,код A,I2C2 wr reg 7 = u32@0x15FE (len 1),§49,разобран,100%
0x02358,16,код A,I2C2 wr reg 0x70 = u32@0x163F (len 2),§49,разобран,100%
0x0236c,42,код A,"retry-счётчик I2C: успех 0x21dc → @0xA76=0, @0xA75++; ≥4 → сброс + @0xA73=1",§49,разобран,100%
0x02730,36,код B,I2C2 read-путь: → 0x9048,§49,разобран,100%
0x02770,68,код B,"**I2C2 wr**: {code16, val16, len=4} → 0x90a0(0x40005800, dev 0x3E) — запись регистра чипа",§50,разобран,100%
0x0280c,88,код B,"**I2C2 batch write 0x11B**: {u16 code, [r5&FF, r5>>8] + r6[0..0xF]} → 0x9048(I2C2, dev 0x3E); вызов из 0xc158",§50,разобран,100%
0x029e8,104,код B,"**handler-table dispatch**: таблица @0xADC (u32 ptr), индекс u32@0xB48; пусто → 0x23c4+0x1e94; иначе blx; set/clear bit(byte@0xB48) в u32@*(u32@RAM[0xAC8]); idx++",§50,разобран,100%
0x02a5c,16,код B,флаг 0x1bdc(0x9A) & 1,§49,разобран,100%
0x02a6c,28,код B,UART-инициал: конфиг из flash-структуры + 0x13c5c(0x4B) (CMD 0x4B),§49,разобран,100%
0x02a94,132,код B,,,не начат,0%
0x02b2c,124,код B,"**boot-конфиг из flash @0x1A8xx**: 0xc624(1); 0x332c(flash 0x1A827, 2); [0x1A8CC] → sp; 0x307c (varargs event); ldm 0x1A878/0x1A8B0 → 0x3278/0x3220; {u32@0x1AD8, 0x96}; 0x130e0/0x12fe0/0x4f38/0x130c8 (флаги)",§50,разобран,100%
0x02bbc,50,код B,"GPIO-порт: A(0x40010800)=0, B(0x40010C00)=1, C(0x40011000)=2, D(0x40011400)=3; dispatch по mode(r1), общий return 0x2BEE",§49/§50.7.3,разобран,100%
0x02d14,8,код B,thunk → 0x9678,§48,ID,25%
0x02d1c,20,код B,**вход в критсекцию**: u32@RAM[0xB5C]++,§49,разобран,100%
0x02d34,36,код B,**выход из критсекции**: u32@RAM[0xB5C]--,§49,разобран,100%
0x02d5c,16,код B,"**flash write**: 0x3588(); 0x332c(flash 0x1A550, 0x1A) — запись 26B в NVRAM-зону",§49,разобран,100%
0x02d70,130,код B,,,не начат,0%
0x02e0c,16,код B,проверка «оба нуля»: u16@0x38 == 0 && u16@0x3A == 0,§49,разобран,100%
0x02e84,54,код B,I2C-подобный запрос: 0x9874 (проверка структуры) + счётчик @0xB71,§49,разобран,100%
0x03034,62,код B,init-подблок: 0x3044(1) + 0x305c(),§49,разобран,100%
0x0307c,42,код B,"**varargs**: {b,b,b,1} → 0xc0b4 (event)",§49,разобран,100%
0x030a6,58,код B,EXTI-настройка: RCC-enable + remap(0xB) + 0x40010414=0x80 + 0x59a4(),§49,разобран,100%
0x030e0,44,код B,RCC: 0xc664(0x10000000) + 0xc124(0x400) — PLL/часы,§49,разобран,100%
0x0310c,68,код B,**boot clock init**: 0xc664(0x10000000); 0xc6a4/c29c/c6fc/c6e4; poll 0xc858(0x61)==0; 0xc5f0(0x200); **0xce70 (WWDG window)**,§50,разобран,100%
0x03150,24,код B,"event {u32=0, u16=0x7F, u32=0x136} → 0xcd0c",§49,разобран,100%
0x03168,96,код B,"счётчик: если @0x2F==1 && @0x2E==1 → u16@0xB74 += byte@0x3F; ≤ 0x258 → @0x37=1, иначе reset+@0x37=2",§50,разобран,100%
0x031dc,66,код B,"event {2, 8, 0x14, 0x18} → 0xcd80(0); {0xD, 1, 1, 0x40} → 0xca3c(0) — GPIO-настройка пинов",§50,разобран,100%
0x032f4,54,код B,EXTI-настройка: RCC-enable + remap(7) + 0x40010414=0x80 + 0x59a4(),§49,разобран,100%
0x0332c,574,код B,,,не начат,0%
0x03588,84,код B,"**GPIO B/C/D/A config для NVRAM**: struct {0xFFFF, flags} → 0x85c8(GPIOB/C/D); {0x9FFF} → GPIOA; вызов из 0x2d5c (NVRAM flash write)",§50,разобран,100%
0x035ec,18,код B,SysTick: выкл. TICKINT (CTRL &= ~2),§49,разобран,100%
0x03600,96,код B,"**SysTick период**: udiv(val, 0x3E8); SysTick LOAD(0xE000E014) = n-1; CTRL(0xE000E010) = 7; NVIC-priority по irq",§50,разобран,100%
0x03668,88,код B,**charger detection**: 0x8afc(); если нет флагов заряда и u32@0xF95+0xD → I2C read reg 0x9335 (8B) → byte@0xB44=1,§50,разобран,100%
0x036f4,12,код B,последовательность: 0x10900 + 0x3b00; init-подблок: 0x3700() + 0xc984(),"§48, §49",разобран,100%
0x03700,54,код B,поиск в таблице @0x92C (0x11 записей) через 0x583c,§49,разобран,100%
0x03740,40,код B,event: u16@0x1048 → 0xcd80(2) + 0xcda4(),§49,разобран,100%
0x03780,78,код B,**расчёт напряжения**: i8@0xFC7+2 - i8@0xFC7+1 ≤ 3 → медиан-фильтр × 0xCE4/2^20 → таблица 0x12804 → -u8@0x44 → i8@0xA6; иначе 0; EEPROM 0x3da0,§50,разобран,100%
0x037f4,64,код B,"инициал структуры @0x304C {0, 0x21000, 0x21000} + 0x84a0(..., 0x2000) с retry",§49,разобран,100%
0x03838,174,код B,,,не начат,0%
0x038ec,84,код B,"**TLV + CRC-16 (таблица)**: 4B header + len=byte@+3; CRC-16(0x3c4c) → {hi, lo} в конец; *r2 = len",§50,разобран,100%
0x03940,22,код B,"0x3c04(0x8000000, 0x3000, 0) → u32@0xCC (чтение flash?)",§49,разобран,100%
0x0395c,10,код B,thunk → 0xd298(r0=0),§48,ID,25%
0x03966,10,код B,thunk → 0xd298(r0=1) (пара с 0x395c: off/on),§48,ID,25%
0x03970,28,код B,доступ к структуре @0x98: +0x20 = r0 ? r2 : r1; +0x24 = r3,§49,разобран,100%
0x03994,52,код B,поиск в таблице @0x5CC (0x3A записей × 8B): match по +4 → указатель,§49,разобран,100%
0x03a6c,22,код B,one-shot флаг byte@0x142: если 0 → 1 + bl 0x3a7e,§49,разобран,100%
0x03b20,10,код B,thunk → 0x1bdc(r0=0x9a),§48,ID,25%
0x03b2a,20,код B,init-подблок: 0x3b50/0x3b74/0x3b8a/0x3b9c/0x3bb2 (цепочка RCC/периферии),§49,разобран,100%
0x03b42,64,код B,CRC-16 (полином 0xA001) + mvn (двоичное дополнение),§49,разобран,100%
0x03b82,66,код B,"CRC-16 (poly 0x1021, MSB-first) — пятый вариант CRC-16",§50,разобран,100%
0x03bc4,62,код B,"CRC-16 (полином 0x1021, MSB-first) — второй вариант",§49,разобран,100%
0x03c04,68,код B,"**CRC-32 (poly 0xEDB88320, LSB-first)** — zlib-вариант; вызов из 0x57a0/0x3940",§50,разобран,100%
0x03c4c,42,код B,"**CRC-16 табличный** (таблица @0x19784, 256 u16) — третий вариант CRC-16",§49,разобран,100%
0x03c7c,46,код B,"**CRC-7 byte-step**: r0 ^= byte; 8×: msb? ((r0<<1)&0xFF)^7 : (r0<<1)&0xFF — XOR-константа **0x07** (не 0x09!); состояние в r1, байт в r0; эмуляторно подтверждено (§50.7)",§49/§50.7,разобран,100%
0x03cac,232,код B,,,не начат,0%
0x03da0,58,код B,чтение 4B из EEPROM + CRC-16 (0x8a50) с проверкой; буфер @0xC9C,§49,разобран,100%
0x03de4,252,код B,,,не начат,0%
0x03f00,912,код B,,,не начат,0%
0x042b8,118,код B,"счётчики: @0x118 (кап 5, гейт GPIOB+0x10 bit) → @0x8A=1; u16@0x116 (кап 0x3E8) → reset",§50,разобран,100%
0x04344,324,код B,,,не начат,0%
0x044c0,58,код B,**range-check**: u16@0xF95+6 ≤ 0x7D0 && u16@0xF95+8 ≥ 0x1194 && i8@0xFC8+1 > -40 && i8@0xFC8+2 < 0x64; гейт byte@0xA73,§49,разобран,100%
0x04508,266,код B,,,не начат,0%
0x04630,146,код B,,,не начат,0%
0x048d8,32,код B,сумма u16 + mvn (двоичное дополнение) — контрольная сумма,§49,разобран,100%
0x048f8,142,код B,,,не начат,0%
0x04994,18,код B,0x49ac(); byte@0xD9=0; byte@0xD8=1 (пара флагов),§49,разобран,100%
0x049b8,70,код B,"**mode switch**: r4==2 → 0x16d4 (DMA reset), 0x8348, 0x10770 (SPI1 init), 0x2a6c (UART init), 0x4e08 (poll), delay 0x186A00, 0x1bdc(0x99)",§50,разобран,100%
0x04a04,24,код B,обнуление блока @0x129..0x13C (byte + 3×u32),§49,разобран,100%
0x04a30,26,код B,поиск в локальной таблице (2 записи) через 0x12f44/0x12d04,§49,разобран,100%
0x04a4c,160,код B,,,не начат,0%
0x04b04,28,код B,"поиск в локальной таблице (2 записи, вариант)",§49,разобран,100%
0x04b20,150,код B,,,не начат,0%
0x04bc0,36,код B,"event queue @0x164C: push {ptr, 0} (slot++ % 6)",§49,разобран,100%
0x04be8,36,код B,"event queue @0x164C: push {u16, 0} (slot++ % 6)",§49,разобран,100%
0x04c14,100,код B,**event-очередь wrap**: счётчик @0xB4C++; ring @0x164C (6 слотов): wrap-логика; слоты state==1 && u32@+4 ≤ counter → state=2,§50,разобран,100%
0x04c84,48,код B,"event queue @0x164C: push {*(u32@RAM[0xB4C]), 0} (slot++ % 6)",§49,разобран,100%
0x04cbc,122,код B,"**event-очередь consumer**: счётчик @0xB50++; критсекция (0x2d1c/0x2d34); слоты state==2: delta vs u32@*(u32@RAM[0xB4C]), min → @0xB54; **blx [u32@slot+8](arg=u32@slot+0xC)**",§50,разобран,100%
0x04d48,138,код B,,,не начат,0%
0x04de0,40,код B,poll: 0x1bdc(0x93)&0x1bdc(0x94) + задержка 0x1F4,§49,разобран,100%
0x04e08,32,код B,poll: 0x1bdc(0x94) + задержка 0x1F4,§49,разобран,100%
0x04e28,8,код B,thunk → 0x5000,§48,ID,25%
0x04e30,8,код B,thunk → 0x4fc0,§48,ID,25%
0x04e38,4,код B,"setter +4 (str r0,[r1,#4])",§48,разобран,100%
0x04f38,24,код B,set: *(u32@r0) |= 1; clear: *(u32@r0) &= 0xFFFE (**трюнирует до u16!** асимметрия; mode=r1; §50.7),§49/§50.7,разобран,100%
0x04f50,8,код B,getter u16 @+4 (uxth),§48,разобран,100%
0x04f58,20,код B,проверка маски в u32: (*(u32@r1) & r0) != 0,§49,разобран,100%
0x04f70,60,код B,merge u32-флагов: struct+8/12 → | в r0 (для SPI/UART-конфига),§49,разобран,100%
0x04fac,8,код B,условный setter *[r2+0x10] = (r3 ? r0 : 0),§48,разобран,100%
0x04fba,4,код B,"setter +4 (str r1,[r0,#4])",§48,разобран,100%
0x04fc0,52,код B,**DMA1 INTFR handler**: если бит 0x02000000 → clear + byte@0x1743 &= ~(1<<@0x1744) + @0xB76 &= ~1,§49,разобран,100%
0x05000,56,код B,**DMA1 INTFR handler**: если бит 0x20000 → clear + byte@0x1B6E &= ~(1<<@0x1B6F) + @0xB76 &= ~4,§49,разобран,100%
0x05044,38,код B,среднее u16-массива (сумма/длина),§49,разобран,100%
0x0506a,70,код B,bubble sort u16-массива (вызов из медиан-фильтра 0x170c),§50,разобран,100%
0x050b0,128,код B,"статистика байт-потока: min/max/sum → {i8 avg, i8 max, i8 min, u8 cnt_hi, u8 cnt_lo}",§50,разобран,100%
0x05134,162,код B,,,не начат,0%
0x051d8,106,код B,"**телеметрия init**: 0x11d6(&@0xF70, 0x25); 0x11d6(&@0xF95, 0x26); zero @0xFBB/@0xFC7; 0x11d6(&@0x1004, 0x54); 0x11d6(&@0xFE7, 0x1D); u16@0xF10[0..0xD]=0xE10; byte@0x44[0..2]=0x19; 0x9aa4(); u32@0xFD3+4=0x2710",§50,разобран,100%
0x05274,174,код B,,,не начат,0%
0x05330,186,код B,,,не начат,0%
0x053fc,68,код B,descriptor-lookup @0x7D5 (таблица 0x92C): match byte@r4+2; если OK → byte@r4+4 = entry+8; event 0x5dd8,§50,разобран,100%
0x05448,142,код B,,,не начат,0%
0x054dc,230,код B,,,не начат,0%
0x055c8,218,код B,,,не начат,0%
0x056bc,174,код B,,,не начат,0%
0x057a0,80,код B,"**flash bank select + CRC-32**: header @0x1D800 (CRC-16 check); addr = u32@hdr+0xC+0x3000 или 0x1C800; CRC-32(0x8000000, addr) → u32@0xD0",§50,разобран,100%
0x057f8,26,код B,u16@0xCB3 → байты @0xCB3/0xCB5 + отправка 0x13bb8(s),§49,разобран,100%
0x05818,28,код B,байты @0xCB3/0xCB5 → u16@0xCB3 + отправка 0x13bb8(s),§49,разобран,100%
0x0583c,52,код B,поиск в таблице @0x92C (0x11 записей × 8B): match по +4 → указатель,§49,разобран,100%
0x05874,18,код B,bit1: если 0x597c(1) → 0x5970(1),§49,разобран,100%
0x05888,34,код B,bit0x800: если 0x597c(0x800) && !byte@0x102 → @0x102=1; затем 0x5970(0x800),§49,разобран,100%
0x058b0,70,код B,"**NVIC IRQ3**: 0x5970(0x100000); struct {0x100000, 0, 8, 1} → 0x59a4; {3, 0, 0, r4} → 0xc0b4 (enable)",§50,разобран,100%
0x058f6,18,код B,bit0x10: если 0x597c(0x10) → 0x5970(0x10),§49,разобран,100%
0x05908,92,код B,AFIO/EXTI-setup: если 0x597c(0x200) ([0x40010400]&0x200 и [0x40010414]&0x200) → byte@RAM[0x100]=1; затем последовательно 0x80/0x100/0x200 → 0x40010414 (эмуляторно подтверждено §50.7),§49/§50.7,разобран,100%
0x05970,6,код B,запись r0 в регистр @0x40010414 (зона AFIO; EXTI-mapping?),§48,разобран,100%
0x05a38,30,код B,I2C-прединициал: 0x15588() + 0x5134() + 0x109c4(),§49,разобран,100%
0x05a68,32,код B,u32 udiv (аппаратный + коррекция переполнения),§49,разобран,100%
0x05b5a,50,код B,задержка 0x2F + 0x1c1c(0x90) (init-подблок),§49,разобран,100%
0x05b8c,10,код B,thunk → 0x4de0,§48,ID,25%
0x05b98,30,код B,@0x40003000 = 0xAAAA; GPIOB+0x18 = 0x40003000>>7; GPIOA+0x18 = 4; 0xc20c(3),§49,разобран,100%
0x05bc4,202,код B,,,не начат,0%
0x05c9c,26,код B,"@0x40003000 = 0xAAAA; 0x332c(flash 0x19B14, 2); 0xc20c(1)",§49,разобран,100%
0x05cc0,10,код B,запись 0xAAAA в @0x40003000 (дубль 0x99f0),§48,разобран,100%
0x05cd0,194,код B,,,не начат,0%
0x05dbc,22,код B,@0x40003000 = 0xAAAA; 0x2d5c (flash wr @0x1A550); 0xc20c(4),§49,разобран,100%
0x05dd8,262,код B,,,не начат,0%
0x05ee0,146,код B,,,не начат,0%
0x05fb4,32,код B,I2C init: 0x5a38() + задержка 0x2710 + 0x1c1c(0x1F4),§49,разобран,100%
0x06080,312,код B,,,не начат,0%
0x061d4,12,код B,FLASH_SR @0x4002200C |= r0 — сброс флагов (caller OTA-код 0x06230),§48,разобран,100%
0x061e4,72,код B,"**HSI-старт**: если !CTLR bit1 → HSION(bit0), poll bit1 до 0x500; return ready",§50,разобран,100%
0x06230,78,код B,**FLASH sector erase core**: SCBR clear(0x7C); CTLR(+0x10) |= 2; ADDR(+0x14)=addr; CTLR |= 0x40; wait; CTLR &= 0x3FFD,§50,разобран,100%
0x06284,16,код B,проверка FLASH BSY (SCBR bit0); 1=занят,§49,разобран,100%
0x062d4,14,код B,FLASH_SCBR |= 0x80 (после стирания/записи),§49,разобран,100%
0x06304,24,код B,выравнивание: r0&3 ? 9 : 6,§49,разобран,100%
0x06360,18,код B,FLASH_CTLR биты [5:3] = r0 (режим стирания/записи),§49,разобран,100%
0x06378,12,код B,FLASH unlock: magic-ключи 0x45670123/0xCDEF89AB → FLASH_KEYR @0x40022004,§48,разобран,100%
0x06390,38,код B,ожидание не-BSY; таймаут → 0xA,§49,разобран,100%
0x063b8,590,код B,,,не начат,0%
0x06618,526,код B,,,не начат,0%
0x06838,310,код B,,,не начат,0%
0x06978,104,код B,**state-машина @0x12BA**: критсекция 0x10fc8; byte@+0x68: 0→+0x69=2 + 0x16504()→u16@+0x50 + 0x164f8()→u16@+0x48; 1/2 → 0xe740(&local),§50,разобран,100%
0x069e4,722,код B,,,не начат,0%
0x06ccc,378,код B,,,не начат,0%
0x06e50,358,код B,,,не начат,0%
0x06fc0,130,код B,,,не начат,0%
0x070d8,944,код B,,,не начат,0%
0x07494,1282,код B,,,не начат,0%
0x0799c,144,код B,регулятор duty (вырожден: выход ≈ -275 → 0%),"§39, §41",разобран,100%
0x07a30,820,код B,slot-3 state-machine мотора (TBB @0x7AA4),"§39, §41",разобран,100%
0x07d6c,148,код B,,,не начат,0%
0x07e70,40,код B,**bulk erase**: цикл по 0x800-байтовым секторам (буфер на стеке 0x804),§49,разобран,100%
0x07e98,52,код B,"**sector erase**: валидация адреса (%0x800==0, диапазон 0x3000..0x1FFFF), unlock, 0x6230(erase), SCBR|=0x80",§49,разобран,100%
0x07ed4,18,код B,"FLASH not-busy: 0x61e4()==1 → 0, иначе 1",§49,разобран,100%
0x07ee8,58,код B,bulk erase: инициализация стекового буфера + старт цикла,§49,разобран,100%
0x07fb8,28,код B,memmove (направленный байтовый цикл),§49,разобран,100%
0x07fd4,6,код B,"getter byte (ldrb r0,[r0])",§48,разобран,100%
0x07fdc,56,код B,bulk erase: тело цикла (указатель → 0x6230),§49,разобран,100%
0x080ac,84,код B,"**flash region validator**: r7 ∈ [0x8003000, 0x801FFFF), выравнивание 4, размер ≤ 0x800 → 0x7e98 — OTA-проверка",§50,разобран,100%
0x081b4,212,код B,,,не начат,0%
0x082b8,44,код B,"one-shot под флагом @0xC8D: 0x8468(); 0x83e4(); результат в {0xC84014, 0xC84013, 0xA14014} → OK, иначе флаг=1",§49,разобран,100%
0x082f0,12,код B,guard: return если byte@0xC8D≠0 (r4-варинт; callers 0xd878/0x119e4/0x147ac),§48,разобран,100%
0x0833c,6,код B,getter byte@RAM[0xC8D] — флаг инициализации 0x8xxx-драйвера,§48,разобран,100%
0x08348,10,код B,one-time init (флаг byte@0xC8D==0): GPIOA + SPI1-команда 0xB9 + delay (продолжение — 0x8352),§48,разобран,100%
0x08380,26,код B,транзакция 0x833c: если r0 → вернуть 0 (условный выход),§49,разобран,100%
0x083e4,74,код B,**SPI1 read 3B**: GPIOA pin 0x10 (0x87da); 0x10870(0x9F) + 0x10870(0xFF)×3 → u24; 0x87de; вызов из one-time init 0x82b8,§50,разобран,100%
0x08434,46,код B,"GPIOA: 0x87da(GPIOA, 0x10); 0x10870(5); poll 0x10870(0xFF) до bit0==0; 0x87de(GPIOA, 0x10)",§49,разобран,100%
0x08468,10,код B,"guard: return если byte@0xC8D≠0 (вариант №2, паттерн как 0x8348)",§48,разобран,100%
0x084a0,22,код B,транзакция 0x833c: если r0==0 → return (из 0x37f4/0x851c),§49,разобран,100%
0x084fc,26,код B,"GPIOA: 0x87da(GPIOA, 0x10); 0x10870(6); 0x87de(GPIOA, 0x10)",§49,разобран,100%
0x0851c,24,код B,транзакция 0x833c: если r0!=0 → return pc (из 0x37f4),§49,разобран,100%
0x08588,58,код B,"AFIO remap: idx=arg1>>2 (арифм.), p=arg1&3: MAPR[idx]=(MAPR & ~(3<<4p)) | ((arg0<<4p) & M32) — поле [4p+1:4p], arg0 не маскируется",§49/§50.7.3,разобран,100%
0x085c8,484,код B,,,не начат,0%
0x087b0,24,код B,"инициал структуры {u16=0xFFFF, +2=0, +3=0, +8=0, +0xC=0xF}",§49,разобран,100%
0x087c8,18,код B,проверка: *(u32@r0+0x10) & r1 != 0,§49,разобран,100%
0x087de,4,код B,setter +0x18 (в init: GPIOA+0x18 = 0x10),§48,разобран,100%
0x087e2,10,код B,условный setter: r2 ? *(r0+0x18) : *(r0+0x28) = r1,§48,разобран,100%
0x087f8,60,код B,CRC-8 (полином 0x2F) по массиву байтов,§49,разобран,100%
0x08834,50,код B,**проверка «все условия»**: @0x107==1 && @0x35==1 && @0x40!=1 && @0x3C!=1 && @0x3E!=1,§49,разобран,100%
0x08878,6,код B,getter byte@RAM[0x128],§48,разобран,100%
0x08884,168,код B,,,не начат,0%
0x08938,260,код B,,,не начат,0%
0x08a44,8,код B,getter u32@RAM[0xF6A] (пул=0x20000F64 + 6; фиксированный адрес; §50.7),§48/§50.7,разобран,100%
0x08a50,54,код B,CRC-16 табличный (таблицы @0x19584/@0x19684 по 256 u16); вызов из 0x3da0/0xc420 — **верификация чтения EEPROM**,§49,разобран,100%
